Estuary,Exclosure_date,Yrs_since_disturb,Site_no,ID,Salinity_mS,Elev_m_AMLL,Agropyron_repens,Agrostis_gigantea,Atriplex_patula,Carex_lyngbyei,Cotula_coronopifolia,Daucus_carota,Deschampsia_cespitosa,Distichlis_spicata,Glaux_maritima,Isolepis_cernua,Juncus_balticus,Polygonum_fowlerii,Potentilla_anserina_pacifica,Salicornia_depressa,Scirpus_microcarpus,Spergularia_canadensis,Symphotrichium_subspicatum,Trifolium_wormskioldii,Triglochin_maritima,Unvegetated
ERE,Grubbed,0,GRB_01,1,1.294166667,3.475,0,0,0.5,0,0.5,0,0,0,35,6.25,0,0,34.375,0,0,0,0,0,0,23.38
ERE,Grubbed,0,GRB_02,2,10.82333333,3.4525,0,0.05,0,0,1.6125,0,0,0,0.5,40,0,0,0,17.5,0,1,0,0,0,39.34
ERE,Grubbed,0,GRB_03,3,12.96333333,3.31,0,0,0,0,0,0,0,0,0,1,5,0,0,2,0,1,0,0,0,91.00
ERE,Grubbed,0,GRB_04,4,13.64833333,3.435,0,0,0,0,0,0,0,0,0,37.5,0,0,0,26.5,0,12.5,0,0,0,23.50
ERE,2020,1,20_01,5,3.666666667,3.605,0,10,1,0,0.5,0,0,5.625,0,0,10,1,29.0625,52.1875,0,0,0,0,0,0.00
ERE,2020,1,20_02,6,2.262,3.64,0,50,0,4.6875,0,0,12.5,25,1.5,0,2,0,12.5,2.0625,0,0,0,0,0,0.00
ERE,2020,1,20_03,7,8.13,3.43,0,0,0.05,0,0,0,0,0,0,22.5,0,0,0,60,0,3.125,0,0,0,14.33
ERE,2020,1,20_04,8,6.356666667,3.3225,0,0,0,28.125,0,0,0,0.05,1,12.5,1,0,0,36.25,0,2,0,0,0,19.08
ERE,Reference,15,REF_01,9,9.776666667,3.57,0,0,0.5,0,0.55,0,0,0,0,2,75,0,0,13.5,0,2,0,0,0,6.45
ERE,Reference,15,REF_02,10,0.619833333,3.5675,0,11.5625,0,0,0,0,36.25,13.125,1.5,0,18.75,0,22.75,1.5,0,0,0,0,0,0.00
ERE,Reference,15,REF_03,11,1.1715,3.58,0,3.625,0,0.05,0,0.05,50,0.5,4.125,1,0,0,22.8125,3.125,0,0.5,0,0,0.5,13.71
ERE,Reference,15,REF_04,12,0.54275,3.755,0,6.75,0,0,0,0,3.175,0.5,0,0,60,0,4.6875,0,0,0,0,0,0,24.89
LQRE,Grubbed,0,GRB_04,13,8.821666667,3.02,0,0,0,0,0.5,0,0,0,3.125,25,0,0,0,1,0,3.125,0,0,0.5,66.75
LQRE,Grubbed,0,GRB_05,14,4.4625,2.885,0,0.5,0,10.9375,10.9375,0,0,0,38,62.5,0,0,9.375,2.0625,0,35,0,0,2.0625,0.00
LQRE,Grubbed,0,GRB_06,15,4.366666667,2.92,0,1,0,0,1,0,0,0,1.5625,49,0,0,2.0625,3.625,0,8.125,0,0,1,32.63
LQRE,Grubbed,0,GRB_11,16,9.718333333,2.8975,0,0,0,0.55,6.25,0,0,0,0,65,0,0,0,1,0,30,0,0,1.6125,0.00
LQRE,2020,1,20_01,17,NA,2.815,0,0,0,0.5,25,0,0,1.5625,0.05,80,0,0,0,1,0,22.5,0,0,0,0.00
LQRE,2020,1,20_02,18,9.096666667,3.075,0,1,0,6.25,1,0,0,0,1,50,0,0,0,0.5,0,6.25,0,0,2.0625,31.94
LQRE,2020,1,20_03,19,7.043333333,3.13,0,0,0,24.6875,3.625,0,0,0,37.5,22,0,0,6.25,1,0,6.125,0,0,1.6125,0.00
LQRE,2020,1,20_04,20,8.938333333,3.06,0,2.0625,0,21.875,1,0,0,0,3.175,52.5,0,0,0,1.5,0,6.25,0,0,3.125,8.51
LQRE,2016,5,16_01,21,NA,3.16,0,47.5,0,45,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,7.00
LQRE,2016,5,16_02,22,5.386666667,3.18,0,1.6125,0,85,0,0,0,0,0,0,0,0,0,0,1.5625,0,0,0,1.6125,10.21
LQRE,2016,5,16_03,23,8.125,3.1025,0,0.05,0,54.375,0.5,0,0,30,0.5,2.5,0,0,0,0,0,1.5625,0,0,3.125,7.39
LQRE,2016,5,17_01,24,5.99,3.0925,0,0.5,0.1,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,7.90
LQRE,2010,10,10_05,25,6.508333333,3.4725,0,82.5,0,0.55,0,0,0,0,2.0625,0,9.375,0,34.375,0,0,0,0,0,6.25,0.00
