Estuary,Exclosure_date,Exclosure_age_yr,Seed_coll_date,Germ_obs_date,Replicate,Tray_type,Atriplex_patula,Agrostis_stolonifera,Salicornia_depressa,Spergularia_canadensis,Cotula_coronopifolia ,Isolepis_cernua,Deschampsia_cespitosa,Potentilla_anserina_pacifica,Carex_lyngbyei,Symphyotrichum_subspicatum,Achillea_millefolium,Cirsium_sp,Glaux_maritima
Little_Qualicum,Grubbed,0,7/15/2021,9/19/2021,3_ND,ND,1,2,0,42,4,13,1,0,0,0,0,0,0
Little_Qualicum,Grubbed,0,7/15/2021,9/19/2021,2_ND,ND,0,0,0,50,1,18,2,0,0,0,0,0,0
Little_Qualicum,Grubbed,0,7/15/2021,9/19/2021,1_ND,ND,0,0,0,33,1,31,0,0,0,0,0,0,0
Little_Qualicum,Grubbed,0,7/15/2021,9/19/2021,3_D,D,0,0,1,10,0,1,0,0,0,0,0,0,0
Little_Qualicum,Grubbed,1,7/15/2021,9/19/2021,2_D,D,0,0,0,12,1,0,0,0,0,0,0,0,0
Little_Qualicum,2016,5,7/15/2021,9/19/2021,3_D,D,0,6,0,1,2,0,0,0,0,0,0,0,0
Little_Qualicum,2016,5,7/15/2021,9/19/2021,2_D,D,0,8,0,7,4,0,1,0,0,0,0,0,0
Little_Qualicum,2016,5,7/15/2021,9/19/2021,1_D,D,0,8,1,3,0,0,0,0,0,0,0,0,0
Little_Qualicum,2016,5,7/15/2021,9/19/2021,3_ND,ND,0,5,0,5,1,0,1,0,2,0,0,0,0
Little_Qualicum,Reference,25,7/15/2021,9/19/2021,3_ND,ND,0,7,0,1,0,0,7,1,4,0,0,0,0
Little_Qualicum,Reference,25,7/15/2021,9/19/2021,1_ND,ND,0,15,0,0,4,0,3,0,2,1,0,0,0
Little_Qualicum,Reference,25,7/15/2021,9/19/2021,2_ND,ND,0,5,0,2,2,0,5,1,1,0,0,0,0
Little_Qualicum,Reference,25,7/15/2021,9/19/2021,3_D,D,0,5,0,1,0,0,8,0,0,0,1,0,0
Little_Qualicum,Reference,25,7/15/2021,9/19/2021,2_D,D,1,8,0,2,0,0,1,0,0,0,0,1,0
Little_Qualicum,Reference,25,7/15/2021,9/19/2021,1_D,D,1,18,0,1,1,2,0,0,1,0,0,0,0
Little_Qualicum,2016,5,7/15/2021,9/19/2021,2_ND,ND,0,2,0,3,3,0,2,0,2,0,0,0,0
Little_Qualicum,2016,5,7/15/2021,9/19/2021,1_ND,ND,0,3,0,2,3,1,2,0,0,0,0,0,0
Little_Qualicum,2020,1,7/15/2021,9/19/2021,3_ND,ND,0,1,0,13,3,5,1,0,0,0,0,0,0
Little_Qualicum,2020,1,7/15/2021,9/19/2021,1_ND,ND,0,1,0,20,2,11,0,0,0,0,0,0,0
Little_Qualicum,2020,1,7/15/2021,9/19/2021,2_ND,ND,0,3,1,14,2,5,0,0,0,0,0,0,0
Little_Qualicum,2020,1,7/15/2021,9/19/2021,2_D,D,0,0,0,7,4,1,0,0,0,1,0,0,0
Little_Qualicum,2020,1,7/15/2021,9/19/2021,3_D,D,0,1,1,12,4,1,0,0,0,0,0,0,0
Little_Qualicum,2020,1,7/15/2021,9/19/2021,1_D,D,0,1,0,4,0,1,0,0,0,0,0,0,0
Nanaimo,Reference,25,7/15/2021,9/22/2021,1_ND,ND,0,0,0,3,0,0,8,0,0,1,0,0,1
Nanaimo,Reference,25,7/15/2021,9/22/2021,3_ND,ND,0,2,0,0,1,0,7,0,0,1,0,0,0
Nanaimo,Reference,25,7/15/2021,9/22/2021,2_ND,ND,0,2,0,0,1,1,3,0,1,1,0,0,0
Nanaimo,Reference,25,7/15/2021,9/22/2021,1_D,D,0,0,0,0,0,0,8,0,0,0,0,0,0
Nanaimo,Reference,25,7/15/2021,9/22/2021,2_D,D,0,2,0,0,1,2,0,0,0,0,0,0,3
Nanaimo,Reference,25,7/15/2021,9/22/2021,3_D,D,0,0,0,2,0,0,5,0,0,0,0,0,0
Nanaimo,Grubbed,0,7/15/2021,9/22/2021,1_ND,ND,0,0,0,8,0,19,2,0,0,0,0,0,0
