Estuary,Exclosure_date,Exclosure_age_yr,Site_no,Unique_plot_ID,Dist_channel_m,Dist_fence_perpend_m,Dist_fence_far_parallel_m,Dist_plot_pair_m,Plot_elev_m_AMLL,Agropyron_repens,Agrostis_gigantea,Atriplex_patula,Carex_lyngbyei,Cotula_coronopifolia,Daucus_carota,Deschampsia_cespitosa,Distichlis_spicata,Glaux_maritima,Isolepis_cernua,Juncus_balticus,Polygonum_fowlerii,Potentilla_anserina_pacifica,Salicornia_depressa,Scirpus_microcarpus,Spergularia_canadensis,Symphotrichium_subspicatum,Trifolium_wormskioldii,Triglochin_maritima,Richness,Native_richness,Non_native_richness
ERE,2020,1,20_01_A,17,0.5,0.5,3.3,12.2,3.565,0.00,0.00,1.00,0.00,1.00,0.00,0.00,6.25,0.00,0.00,0.00,1.00,3.13,95.00,0.00,0.00,0.00,0.00,0.00,6.00,4.00,2.00
ERE,2020,1,20_01_B,18,0.5,2.5,0.5,12.2,3.645,0.00,20.00,1.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,20.00,1.00,55.00,9.38,0.00,0.00,0.00,0.00,0.00,7.00,5.00,2.00
ERE,2020,1,20_02_A,19,10.5,1.5,3,6.2,3.595,0.00,90.00,0.00,6.25,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,6.25,3.13,0.00,0.00,0.00,0.00,0.00,5.00,4.00,1.00
ERE,2020,1,20_02_B,20,3.3,2,10.2,6.2,3.685,0.00,10.00,0.00,3.13,0.00,0.00,25.00,50.00,2.00,0.00,4.00,0.00,18.75,1.00,0.00,0.00,0.00,0.00,0.00,8.00,7.00,1.00
ERE,2020,1,20_03_A,21,7.4,2,1,6.6,3.505,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,1.00
ERE,2020,1,20_03_B,22,1,6,2,6.6,3.355,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,0.00,0.00,0.00,25.00,0.00,6.25,0.00,0.00,0.00,3.00,3.00,0.00
ERE,2020,1,20_04_A,23,1,7,1,14.3,3.31,0.00,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,12.50,2.00,0.00,0.00,60.00,0.00,2.00,0.00,0.00,0.00,5.00,5.00,0.00
ERE,2020,1,20_04_B,24,2,11,1.5,14.3,3.335,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.10,2.00,12.50,0.00,0.00,0.00,12.50,0.00,2.00,0.00,0.00,0.00,6.00,6.00,0.00
ERE,Grubbed,0,GRB_01_A,9,14.5,NA,NA,5.2,3.51,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00
ERE,Grubbed,0,GRB_01_B,10,12.5,NA,NA,5.2,3.44,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,50.00,12.50,0.00,0.00,18.75,0.00,0.00,0.00,0.00,0.00,0.00,4.00,3.00,1.00
