collect,germ_obs,estuary,disturbance,replicate,id,species,count
7/15/2021,2/25/2022,ere,grubbed,1,100,isce,40
7/15/2021,2/25/2022,ere,grubbed,1,100,spca,16
7/15/2021,2/25/2022,ere,grubbed,1,100,coco,1
7/15/2021,2/25/2022,ere,grubbed,1,100,sade,21
7/15/2021,2/25/2022,ere,grubbed,1,100,glma,1
7/15/2021,2/25/2022,ere,grubbed,1,100,juba,1
7/15/2021,2/25/2022,ere,grubbed,2,101,isce,53
7/15/2021,2/25/2022,ere,grubbed,2,101,spca,13
7/15/2021,2/25/2022,ere,grubbed,2,101,sade,22
7/15/2021,2/25/2022,ere,grubbed,3,103,isce,44
7/15/2021,2/25/2022,ere,grubbed,3,103,spca,16
7/15/2021,2/25/2022,ere,grubbed,3,103,sade,26
7/15/2021,2/25/2022,ere,grubbed,3,103,graminoid_x,1
7/15/2021,2/25/2022,ere,grubbed,4,104,isce,57
7/15/2021,2/25/2022,ere,grubbed,4,104,spca,6
7/15/2021,2/25/2022,ere,grubbed,4,104,sade,21
7/15/2021,2/25/2022,ere,grubbed,5,105,isce,40
7/15/2021,2/25/2022,ere,grubbed,5,105,spca,12
7/15/2021,2/25/2022,ere,grubbed,5,105,sade,22
7/15/2021,2/25/2022,ere,grubbed,6,106,isce,30
7/15/2021,2/25/2022,ere,grubbed,6,106,spca,6
7/15/2021,2/25/2022,ere,grubbed,6,106,sade,22
7/15/2021,2/25/2022,ere,grubbed,7,107,isce,34
7/15/2021,2/25/2022,ere,grubbed,7,107,spca,11
7/15/2021,2/25/2022,ere,grubbed,7,107,sade,20
7/15/2021,2/25/2022,ere,grubbed,8,108,isce,47
7/15/2021,2/25/2022,ere,grubbed,8,108,spca,13
7/15/2021,2/25/2022,ere,grubbed,8,108,sade,24
7/15/2021,2/25/2022,ere,reference,1,109,isce,3
7/15/2021,2/25/2022,ere,reference,1,109,juba,2
7/15/2021,2/25/2022,ere,reference,1,109,dece,1
7/15/2021,2/25/2022,ere,reference,3,110,isce,1
7/15/2021,2/25/2022,ere,reference,3,110,juba,2
7/15/2021,2/25/2022,ere,reference,4,111,isce,4
7/15/2021,2/25/2022,ere,reference,4,111,agsp,1
7/15/2021,2/25/2022,ere,reference,4,111,juba,1
7/15/2021,2/25/2022,ere,reference,5,112,juba,1
7/15/2021,2/25/2022,ere,reference,5,112,spca,1
7/15/2021,2/25/2022,ere,reference,6,113,isce,5
7/15/2021,2/25/2022,ere,reference,7,114,juba,3
7/15/2021,2/25/2022,ere,reference,7,114,juox,1
7/15/2021,2/25/2022,ere,reference,8,115,juba,4
7/15/2021,2/25/2022,ere,reference,8,115,graminoid_x,1
7/15/2021,2/25/2022,ere,reference,8,115,spca,1
7/15/2021,2/25/2022,lqre,excl10,1,116,agsp,7
7/15/2021,2/25/2022,lqre,excl10,2,117,agsp,4
7/15/2021,2/25/2022,lqre,excl10,2,117,juba,3
7/15/2021,2/25/2022,lqre,excl10,2,117,glma,1
7/15/2021,2/25/2022,lqre,excl10,2,117,schoenoplectus_unconfirmed,1
7/15/2021,2/25/2022,lqre,excl10,3,118,agsp,9
7/15/2021,2/25/2022,lqre,excl10,3,118,juba,4
7/15/2021,2/25/2022,lqre,excl10,4,119,agsp,5
7/15/2021,2/25/2022,lqre,excl10,4,119,juba,2
7/15/2021,2/25/2022,lqre,excl10,4,119,schoenoplectus_unconfirmed,1
7/15/2021,2/25/2022,lqre,excl10,4,119,glma,1
7/15/2021,2/25/2022,lqre,excl10,4,119,coco,1
7/15/2021,2/25/2022,lqre,excl10,5,120,agsp,1
7/15/2021,2/25/2022,lqre,excl10,5,120,juba,3
7/15/2021,2/25/2022,lqre,excl10,6,121,agsp,1
7/15/2021,2/25/2022,lqre,excl10,6,121,glma,1
7/15/2021,2/25/2022,lqre,excl10,6,121,juba,5
7/15/2021,2/25/2022,lqre,excl10,7,122,agsp,2
7/15/2021,2/25/2022,lqre,excl10,7,122,caly,1
