estuary,disturbance,site,id,sal,elev,agre,agsp,atpa,caly,coco,daca,dece,disp,glma,isce,juba,pofo,popa,sade,spca,sysu,trwo,trma,bare
ere,grubbed,GRB_01,1,1.294166667,3.475,0,0,0.5,0,0.5,0,0,0,35,6.25,0,0,34.37,0,0,0,0,0,23.38
ere,grubbed,GRB_02,2,10.82333333,3.4525,0,0.05,0,0,1.61,0,0,0,0.5,40,0,0,0,17.5,1,0,0,0,39.34
ere,grubbed,GRB_03,3,12.96333333,3.31,0,0,0,0,0,0,0,0,0,1,5,0,0,2,1,0,0,0,91
ere,grubbed,GRB_04,4,13.64833333,3.435,0,0,0,0,0,0,0,0,0,37.5,0,0,0,26.5,12.5,0,0,0,23.5
ere,reference,REF_01,5,9.776666667,3.57,0,0,0.5,0,0.55,0,0,0,0,2,75,0,0,13.5,2,0,0,0,6.45
ere,reference,REF_02,6,0.619833333,3.5675,0,10.96621221,0,0,0,0,34.3805572,12.44813278,1.422643746,0,17.78304683,0,21.57676349,1.422643746,0,0,0,0,0
ere,reference,REF_03,7,1.1715,3.58,0,3.625,0,0.05,0,0.05,50,0.5,4.12,1,0,0,22.81,3.125,0.5,0,0,0.5,13.72
ere,reference,REF_04,8,0.54275,3.755,0,6.75,0,0,0,0,3.17,0.5,0,0,60,0,4.69,0,0,0,0,0,24.89
lqre,grubbed,GRB_04,9,8.821666667,3.02,0,0,0,0,0.5,0,0,0,3.125,25,0,0,0,1,3.125,0,0,0.5,66.75
lqre,grubbed,GRB_05,10,4.4625,2.885,0,0.291757841,0,6.382202772,6.382202772,0,0,0,22.17359592,36.46973012,0,0,5.470459519,1.203501094,20.42304887,0,0,1.203501094,0
lqre,grubbed,GRB_06,11,4.366666667,2.92,0,1,0,0,1,0,0,0,1.5625,49,0,0,2.0625,3.625,8.12,0,0,1,32.63
lqre,grubbed,GRB_11,12,9.718333333,2.8975,0,0,0,0.526756854,5.985873339,0,0,0,0,62.25308272,0,0,0,0.957739734,28.73219203,0,0,1.544355321,0
lqre,excl10,10_05,13,6.508333333,3.4725,0,61.06022759,0,0.407068184,0,0,0,0,1.52650569,0,6.938662226,0,25.4417615,0,0,0,0,4.625774817,0
lqre,excl10,10_06,14,6.376,3.2675,0,36.39010189,0,63.07617661,0,0,0,0,0,0,0,0,0.048520136,0,0,0,0,0.485201359,0
lqre,excl10,10_10,15,7.115,3.41,0,75.51360355,0,13.88117712,0,0,0,0,0.888395336,0,4.164353137,0,5.55247085,0,0,0,0,0,0
lqre,excl10,10_11,16,5.505,3.495,0,64.12382532,0,3.206191266,0,0,0,0,0.884466556,0,8.568269762,0,23.2172471,0,0,0,0,0,0
lqre,reference,REF_01,17,5.641666667,3.53,0,40.84197298,0,2.659964394,0,0,0,0,0.418892031,0,2.146821657,0,13.09037596,0,0,35.6058226,0,5.236150382,0
lqre,reference,REF_02,18,5.62,3.4175,0,12,0.05,19.62,0,0,0,0,0.05,0,30.5,0,30,0,0,0,0,4.68,3.1
lqre,reference,REF_03,19,6.256666667,3.4025,0.498753117,3.6159601,0.498753117,91.26932668,0,0,0,0,0,0,0,1,3.117206983,0,0,0,0,0,0
lqre,reference,REF_04,20,5.839,3.3525,0,0,1,92.5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1.5
nre,grubbed,GRB_01,21,12.00333333,3.8175,0,0,0,0,0,0,0,0.05,14.06,42.5,0,0,0,0,1.5,0,0,0,41.89
nre,grubbed,GRB_02,22,8.37,3.955,0,0,0,0,0.05,0,0.05,1,25,9,0,0,5,0,2,0,0,0,57.9
nre,grubbed,GRB_03,23,7.563333333,3.73,0,0,0,0,0.05,0,0,0,11,22.5,0,0,0,0.05,1.5,0,0,0,64.9
nre,grubbed,GRB_04,24,8.913333333,3.825,0,0,0,0.05,0.55,0,0.5,0,22.19,16.25,0,0,0,0.05,4.68,0,0,0.5,55.23
nre,excl1,20_03,25,8.14,3.7575,0,0,0,10.93,0.05,0,5.19,0,26.5,10,0,0,0,1,16.25,0,0,0.5,29.58
nre,excl1,20_04,26,7.015,3.7575,0,0,0,36.25,0,0,0,1,33,12.5,0,0,0,0,9.37,0,0,0,7.88
nre,excl1,20_05,27,9.263333333,3.73,0,0,0,14.6875,0,0,0.5,0,0.55,10,10,0,0,0,2.0625,0,0,0,62.2
nre,excl1,20_06,28,8.42,3.63,0,0,0,20,0,0,0,0,10.5,17.5,0,0,0,0.5,22.75,0,0,0,28.75
nre,reference,REF_01,29,7.231666667,3.535,0,0,0,77.5,0,0,3.12,0,0.05,2,0,0,0,0,0.5,0,0,0,16.83
nre,reference,REF_02,30,7.538333333,4.0975,0,24.845,0,3.175,0,0,3.625,8.33,3.625,0,3.125,0,12.5,0,0,20,0.5,9.375,10.9
nre,reference,REF_03,31,7.061666667,3.92,0,2.0625,0,4.6875,0,0,12.5,0,10.5,0,41.5,0,15.625,0.5,0,0,0,3.125,9.5
nre,reference,REF_04,32,6.741666667,3.9625,0,0,0,59.37328202,0,0,0,0,0.879604178,0,35.18416712,0,3.188565146,0,0,0,0,1.374381528,0
