estuary,disturbance,site,id,sal,agre,agsp,atpa,caly,coco,daca,dece,disp,glma,elpar,juba,pofo,popa,sade,spca,sysu,trwo,trma,bare
ere,grubbed,GRB_01_A,1,1.63,0,0,1,0,0,0,0,0,20,0,0,0,50,0,0,0,0,0,29
ere,grubbed,GRB_01_B,2,0.96,0,0,0,0,1,0,0,0,50,12.5,0,0,18.75,0,0,0,0,0,17.75
ere,grubbed,GRB_02_A,3,13.42,0,0,0,0,0.1,0,0,0,0,20,0,0,0,20,1,0,0,0,58.9
ere,grubbed,GRB_02_B,4,8.22,0,0.1,0,0,3.13,0,0,0,1,60,0,0,0,15,1,0,0,0,19.78
ere,grubbed,GRB_03_A,5,12.48,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,95
ere,grubbed,GRB_03_B,6,13.45,0,0,0,0,0,0,0,0,0,0,10,0,0,2,1,0,0,0,87
ere,grubbed,GRB_04_A,7,13.73,0,0,0,0,0,0,0,0,0,50,0,0,0,33,6.25,0,0,0,10.75
ere,grubbed,GRB_04_B,8,13.56,0,0,0,0,0,0,0,0,0,25,0,0,0,20,18.75,0,0,0,36.25
ere,reference,REF_01_A,9,10.2,0,0,0,0,0.1,0,0,0,0,2,90,0,0,2,2,0,0,0,3.9
ere,reference,REF_01_B,10,9.35,0,0,1,0,1,0,0,0,0,2,60,0,0,25,2,0,0,0,9
ere,reference,REF_02_A,11,0.814,0,17.62,0,0,0,0,11.01,17.62,0.88,0,22.03,0,29.07,1.76,0,0,0,0,0
ere,reference,REF_02_B,12,0.43,0,3.13,0,0,0,0,60,6.25,2,0,12.5,0,12.5,1,0,0,0,0,2.63
ere,reference,REF_03_A,13,0.52,0,1,0,0.1,0,0,25,1,6.25,0,0,0,15.63,6.25,0,0,0,0,44.78
ere,reference,REF_03_B,14,1.82,0,5.33,0,0,0,0.09,63.91,0,1.7,1.7,0,0,25.56,0,0.85,0,0,0.85,0
ere,reference,REF_04_A,15,0.47,0,12.5,0,0,0,0,6.25,1,0,0,25,0,6.25,0,0,0,0,0,49
ere,reference,REF_04_B,16,0.61,0,1,0,0,0,0,0.1,0,0,0,95,0,3.13,0,0,0,0,0,0.78
lqre,excl10,10_05_A,17,6.56,0,57.87,0,0.72,0,0,0,0,0.72,0,0,0,36.17,0,0,0,0,4.52,0
lqre,excl10,10_05_B,18,6.45,0,64.41,0,0.08,0,0,0,0,2.37,0,14.21,0,14.21,0,0,0,0,4.74,0
lqre,excl10,10_06_A,19,NA,0,40,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
lqre,excl10,10_06_B,20,NA,0,30.41,0,69.5,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0
lqre,excl10,10_10_A,21,6.47,0,82,0,5.69,0,0,0,0,0.91,0,5.69,0,5.69,0,0,0,0,0,0
lqre,excl10,10_10_B,22,7.76,0,69.34,0,21.67,0,0,0,0,0.87,0,2.71,0,5.42,0,0,0,0,0,0
lqre,excl10,10_11_A,23,5.61,0,73.31,0,5.73,0,0,0,0,0.92,0,8.59,0,11.45,0,0,0,0,0,0
lqre,excl10,10_11_B,24,5.4,0,55.56,0,0.85,0,0,0,0,0.85,0,8.55,0,34.19,0,0,0,0,0,0
lqre,grubbed,GRB_04_A,25,7.02,0,0,0,0,0,0,0,0,6.25,25,0,0,0,1,3.13,0,0,0,64.63
lqre,grubbed,GRB_04_B,26,10.62,0,0,0,0,1,0,0,0,0,25,0,0,0,1,3.13,0,0,1,68.88
lqre,grubbed,GRB_05_A,27,3.75,0,0.53,0,4.97,1.66,0,0,0,39.79,26.53,0,0,9.95,1.66,13.26,0,0,1.66,0
lqre,grubbed,GRB_05_B,28,5.17,0,0,0,8.1,12.16,0,0,0,0.65,48.62,0,0,0,0.65,29.17,0,0,0.65,0
lqre,grubbed,GRB_06_A,29,3.71,0,1,0,0,1,0,0,0,0,33,0,0,3.13,1,6.25,0,0,1,53.63
lqre,grubbed,GRB_06_B,30,5.02,0,1,0,0,1,0,0,0,3.13,65,0,0,1,6.25,10,0,0,1,11.63
lqre,grubbed,GRB_11_A,31,11.16,0,0,0,0.09,5.82,0,0,0,0,55.84,0,0,0,0.93,37.23,0,0,0.09,0
lqre,grubbed,GRB_11_B,32,8.27,0,0,0,0.99,6.17,0,0,0,0,69.05,0,0,0,0.99,19.73,0,0,3.08,0
lqre,reference,REF_01_A,33,4.94,0,67.73,0,4.98,0,0,0,0,0.8,0,1.59,0,19.92,0,0,0,0,4.98,0
lqre,reference,REF_01_B,34,6.34,0,11.04,0,0.09,0,0,0,0,0,0,2.76,0,5.52,0,0,75.07,0,5.52,0
lqre,reference,REF_02_A,35,4.98,0,0,0.1,33,0,0,0,0,0.1,0,25,0,25,0,0,0,0,0,16.8
lqre,reference,REF_02_B,36,6.26,0,21.69,0,5.65,0,0,0,0,0,0,32.54,0,31.64,0,0,0,0,8.47,0
lqre,reference,REF_03_A,37,7.14,0,1,0,90,0,0,0,0,0,0,0,0,3.13,0,0,0,0,0,5.88
lqre,reference,REF_03_B,38,5.37,0.94,5.88,0.94,89.31,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0
lqre,reference,REF_04_A,39,NA,0,0,2,95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
lqre,reference,REF_04_B,40,NA,0,0,0,90,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1
nre,excl1,20_03_A,41,NA,0,0,0,12.5,0.1,0,1,0,33,0,0,0,0,0,12.5,0,0,0,40.9
nre,excl1,20_03_B,42,NA,0,0,0,9.38,0,0,9.38,0,20,20,0,0,0,2,20,0,0,1,18.25
nre,excl1,20_04_A,43,9.36,0,0,0,12.5,0,0,0,1,33,18.75,0,0,0,0,12.5,0,0,0,22.25
nre,excl1,20_04_B,44,4.67,0,0,0,56.34,0,0,0,0.94,30.99,5.87,0,0,0,0,5.87,0,0,0,0
