estuary,date,disturbance,site,id,EC_mScm-1,EC_depth_cm
ere,10/6/2021,grubbed,GRB_01_A,,1.55,10
ere,10/6/2021,grubbed,GRB_01_A,,1.55,20
ere,10/6/2021,grubbed,GRB_01_A,,1.78,30
ere,10/6/2021,grubbed,GRB_01_B,,1.21,10
ere,10/6/2021,grubbed,GRB_01_B,,0.47,20
ere,10/6/2021,grubbed,GRB_01_B,,1.21,40
ere,10/6/2021,grubbed,GRB_02_A,,15.05,1
ere,10/6/2021,grubbed,GRB_02_A,,16.73,20
ere,10/6/2021,grubbed,GRB_02_A,,8.49,40
ere,10/6/2021,grubbed,GRB_02_B,,6.11,10
ere,10/6/2021,grubbed,GRB_02_B,,10.16,20
ere,10/6/2021,grubbed,GRB_02_B,,8.40,40
ere,10/6/2021,grubbed,GRB_03_A,,9.35,10
ere,10/6/2021,grubbed,GRB_03_A,,19.29,20
ere,10/6/2021,grubbed,GRB_03_A,,8.80,40
ere,10/6/2021,grubbed,GRB_03_B,,12.95,10
ere,10/6/2021,grubbed,GRB_03_B,,17.50,20
ere,10/6/2021,grubbed,GRB_03_B,,9.89,40
ere,10/6/2021,grubbed,GRB_04_A,,16.83,10
ere,10/6/2021,grubbed,GRB_04_A,,14.59,20
ere,10/6/2021,grubbed,GRB_04_A,,9.77,40
ere,10/6/2021,grubbed,GRB_04_B,,11.73,10
ere,10/6/2021,grubbed,GRB_04_B,,14.80,20
ere,10/6/2021,grubbed,GRB_04_B,,14.17,40
ere,10/6/2021,reference,REF_01_A,,8.62,10
ere,10/6/2021,reference,REF_01_A,,11.83,20
ere,10/6/2021,reference,REF_01_A,,10.15,40
ere,10/6/2021,reference,REF_01_B,,7.65,10
ere,10/6/2021,reference,REF_01_B,,9.65,20
ere,10/6/2021,reference,REF_01_B,,10.76,40
ere,10/6/2021,reference,REF_02_A,,0.74,10
ere,10/6/2021,reference,REF_02_A,,1.00,20
ere,10/6/2021,reference,REF_02_A,,0.71,40
ere,10/6/2021,reference,REF_02_B,,0.46,10
ere,10/6/2021,reference,REF_02_B,,0.43,20
ere,10/6/2021,reference,REF_02_B,,0.39,35
ere,10/6/2021,reference,REF_03_A,,0.52,10
ere,10/6/2021,reference,REF_03_B,,2.30,10
ere,10/6/2021,reference,REF_03_B,,1.45,20
ere,10/6/2021,reference,REF_03_B,,1.72,40
ere,10/6/2021,reference,REF_04_A,,0.53,10
ere,10/6/2021,reference,REF_04_A,,0.42,20
ere,10/6/2021,reference,REF_04_B,,0.39,10
ere,10/6/2021,reference,REF_04_B,,0.77,20
ere,10/6/2021,reference,REF_04_B,,0.68,30
lqre,10/6/2021,excl10,10_05_A,,3.16,10
lqre,10/6/2021,excl10,10_05_A,,5.17,20
lqre,10/6/2021,excl10,10_05_A,,11.36,40
lqre,10/6/2021,excl10,10_05_B,,3.54,10
lqre,10/6/2021,excl10,10_05_B,,3.53,20
lqre,10/6/2021,excl10,10_05_B,,12.29,40
lqre,10/6/2021,excl10,10_10_A,,3.44,10
lqre,10/6/2021,excl10,10_10_A,,4.71,20
lqre,10/6/2021,excl10,10_10_A,,11.25,40
lqre,10/6/2021,excl10,10_10_B,,3.49,10
lqre,10/6/2021,excl10,10_10_B,,7.99,20
lqre,10/6/2021,excl10,10_10_B,,11.81,40
lqre,10/6/2021,excl10,10_11_A,,3.81,10
lqre,10/6/2021,excl10,10_11_A,,3.83,20
lqre,10/6/2021,excl10,10_11_A,,9.20,40
lqre,10/6/2021,excl10,10_11_B,,3.52,10
lqre,10/6/2021,excl10,10_11_B,,5.30,20
lqre,10/6/2021,excl10,10_11_B,,7.37,40
lqre,10/6/2021,grubbed,GRB_04_A,,4.26,10
lqre,10/6/2021,grubbed,GRB_04_A,,6.65,20
lqre,10/6/2021,grubbed,GRB_04_A,,10.16,25
lqre,10/6/2021,grubbed,GRB_04_B,,9.25,10
lqre,10/6/2021,grubbed,GRB_04_B,,12.75,20
lqre,10/6/2021,grubbed,GRB_04_B,,9.86,40
lqre,10/6/2021,grubbed,GRB_05_A,,3.69,10
lqre,10/6/2021,grubbed,GRB_05_A,,3.82,20
lqre,10/6/2021,grubbed,GRB_05_B,,3.96,10
lqre,10/6/2021,grubbed,GRB_05_B,,5.88,20
lqre,10/6/2021,grubbed,GRB_05_B,,5.67,40
lqre,10/6/2021,grubbed,GRB_06_A,,4.63,10
lqre,10/6/2021,grubbed,GRB_06_A,,2.79,20
lqre,10/6/2021,grubbed,GRB_06_B,,4.28,10
lqre,10/6/2021,grubbed,GRB_06_B,,4.96,20
lqre,10/6/2021,grubbed,GRB_06_B,,5.83,25
lqre,10/6/2021,grubbed,GRB_11_A,,7.59,10
lqre,10/6/2021,grubbed,GRB_11_A,,14.65,20
lqre,10/6/2021,grubbed,GRB_11_A,,11.25,40
lqre,10/6/2021,grubbed,GRB_11_B,,4.37,10
lqre,10/6/2021,grubbed,GRB_11_B,,11.81,20
lqre,10/6/2021,grubbed,GRB_11_B,,8.64,40
lqre,10/6/2021,reference,REF_01_A,,2.97,10
lqre,10/6/2021,reference,REF_01_A,,3.85,20
lqre,10/6/2021,reference,REF_01_A,,8.01,40
lqre,10/6/2021,reference,REF_01_B,,4.37,10
lqre,10/6/2021,reference,REF_01_B,,3.51,20
lqre,10/6/2021,reference,REF_01_B,,11.14,40
lqre,10/6/2021,reference,REF_02_A,,4.81,10
lqre,10/6/2021,reference,REF_02_A,,4.01,20
lqre,10/6/2021,reference,REF_02_A,,6.12,40
lqre,10/6/2021,reference,REF_02_B,,2.80,10
lqre,10/6/2021,reference,REF_02_B,,5.75,20
lqre,10/6/2021,reference,REF_02_B,,10.23,40
lqre,10/6/2021,reference,REF_03_A,,3.98,10
lqre,10/6/2021,reference,REF_03_A,,7.81,20
lqre,10/6/2021,reference,REF_03_A,,9.63,40
lqre,10/6/2021,reference,REF_03_B,,3.62,10
lqre,10/6/2021,reference,REF_03_B,,3.79,20
lqre,10/6/2021,reference,REF_03_B,,8.71,40
nre,10/6/2021,excl1 ,20_04_A,,8.68,10
nre,10/6/2021,excl1 ,20_04_A,,11.05,20
nre,10/6/2021,excl1 ,20_04_A,,8.35,40
nre,10/6/2021,excl1 ,20_04_B,,4.67,10
nre,10/6/2021,excl1 ,20_05_A,,8.63,10
nre,10/6/2021,excl1 ,20_05_A,,12.33,20
nre,10/6/2021,excl1 ,20_05_A,,6.31,40
nre,10/6/2021,excl1 ,20_05_B,,8.01,10
nre,10/6/2021,excl1 ,20_05_B,,10.80,20
nre,10/6/2021,excl1 ,20_05_B,,9.50,40
nre,10/6/2021,grubbed,GRB_01_A,,9.36,10
nre,10/6/2021,grubbed,GRB_01_A,,11.35,20
nre,10/6/2021,grubbed,GRB_01_A,,12.55,40
nre,10/6/2021,grubbed,GRB_01_B,,12.92,10
nre,10/6/2021,grubbed,GRB_01_B,,14.17,20
nre,10/6/2021,grubbed,GRB_01_B,,11.67,40
nre,10/6/2021,grubbed,GRB_02_A,,9.16,10
nre,10/6/2021,grubbed,GRB_02_A,,12.05,20
nre,10/6/2021,grubbed,GRB_02_A,,6.30,30
nre,10/6/2021,grubbed,GRB_02_B,,7.69,10
nre,10/6/2021,grubbed,GRB_02_B,,7.18,20
nre,10/6/2021,grubbed,GRB_02_B,,7.84,40
nre,10/6/2021,grubbed,GRB_03_A,,10.81,10
nre,10/6/2021,grubbed,GRB_03_A,,9.99,20
nre,10/6/2021,grubbed,GRB_03_A,,7.28,40
nre,10/6/2021,grubbed,GRB_03_B,,4.72,10
