season,estuary,disturbance,replicate,id,count,species,latin
fall,lqre,excl10,1,na,1,popa,potentilla pacifica
fall,lqre,excl10,1,1a-1l,11,juba,juncus balticus
fall,lqre,excl10,1,na,5,agsp,agrostis stolonifera
fall,lqre,excl10,2,na,1,spca,spergularia canadensis
fall,lqre,excl10,2,na,6,agsp,agrostis stolonifera
fall,lqre,excl10,2,2a-2h,8,juba,juncus balticus
fall,lqre,excl10,3,na,6,agsp,agrostis stolonifera
fall,lqre,excl10,3,3a-3h,8,juba,juncus balticus
fall,lqre,excl10,4,na,11,agsp,agrostis stolonifera
fall,lqre,excl10,4,4a-4i,9,juba,juncus balticus
fall,lqre,excl10,5,5a-5o,14,juba,juncus balticus
fall,lqre,excl10,6,na,5,agsp,agrostis stolonifera
fall,lqre,excl10,6,na,2,spca,spergularia canadensis
fall,lqre,excl10,6,6a-6h,8,juba,juncus balticus
fall,lqre,excl10,7,na,6,agsp,agrostis stolonifera
fall,lqre,excl10,7,na,1,popa,potentilla pacifica
fall,lqre,excl10,7,7a-7f,6,juba,juncus balticus
fall,lqre,excl10,8,na,8,agsp,agrostis stolonifera
fall,lqre,excl10,8,8b-8d; 8f-8g,5,juba,juncus balticus
fall,lqre,grubbed,5,na,160,elpar,eleocharis parvula
fall,lqre,grubbed,5,na,38,spca,spergularia canadensis
fall,lqre,grubbed,5,na,1,agsp,agrostis stolonifera
fall,lqre,grubbed,5,na,1,sysu,symphotrichium subspicatum
fall,lqre,grubbed,5,na,1,coco,cotula cornopifolia
fall,lqre,grubbed,5,5a,1,juba,juncus balticus
fall,lqre,grubbed,5,5b,1,isce,isolepis cernua
fall,lqre,grubbed,6,na,165,elpar,eleocharis parvula
fall,lqre,grubbed,6,na,40,spca,spergularia canadensis
fall,lqre,grubbed,6,na,4,sade,salicornia depressa
fall,lqre,grubbed,6,6a,1,juba,juncus balticus
fall,lqre,grubbed,7,na,150,elpar,eleocharis parvula
fall,lqre,grubbed,7,na,38,spca,spergularia canadensis
fall,lqre,grubbed,7,na,2,sade,salicornia depressa
fall,lqre,grubbed,7,na,1,agsp,agrostis stolonifera
fall,lqre,grubbed,7,na,1,coco,cotula cornopifolia
fall,lqre,grubbed,8,na,173,elpar,eleocharis parvula
fall,lqre,grubbed,8,na,38,spca,spergularia canadensis
fall,lqre,grubbed,8,na,5,sade,salicornia depressa
fall,lqre,grubbed,8,8a,1,juba,juncus balticus
fall,lqre,reference,8,na,1,caly,carex lyngbyei
fall,lqre,reference,8,na,5,agsp,agrostis stolonifera
fall,lqre,reference,8,na,1,spca,spergularia canadensis
fall,lqre,reference,8,8a,1,juba,juncus balticus
fall,lqre,reference,7,na,1,popa,potentilla pacifica
fall,lqre,reference,7,na,3,agsp,agrostis stolonifera
fall,lqre,reference,7,na,1,spca,spergularia canadensis
fall,lqre,reference,7,7a-7e,5,juba,juncus balticus
fall,lqre,reference,6,na,1,agsp,agrostis stolonifera
fall,lqre,reference,6,na,1,spca,spergularia canadensis
fall,lqre,reference,5,na,4,agsp,agrostis stolonifera
fall,lqre,reference,5,5a-5c,3,juba,juncus balticus
fall,lqre,reference,4,na,3,agsp,agrostis stolonifera
fall,lqre,reference,4,na,1,coco,cotula cornopifolia
fall,lqre,reference,4,4a-4b,2,juba,juncus balticus
fall,lqre,reference,4,na,1,caly,carex lyngbyei
fall,lqre,reference,3,na,2,sysu,symphotrichium subspicatum
fall,lqre,reference,3,na,1,popa,potentilla pacifica
fall,lqre,reference,3,na,5,agsp,agrostis stolonifera
fall,lqre,reference,3,3a-3d,4,juba,juncus balticus
fall,lqre,reference,2,na,1,glma,glaux maritima
fall,lqre,reference,2,na,1,spca,spergularia canadensis
fall,lqre,reference,2,na,3,agsp,agrostis stolonifera
fall,lqre,reference,2,na,1,caly,carex lyngbyei
fall,lqre,reference,1,na,3,agsp,agrostis stolonifera
fall,lqre,reference,1,na,4,spca,spergularia canadensis
fall,lqre,reference,1,1a-1b,2,juba,juncus balticus
fall,lqre,reference,1,na,1,caly,carex lyngbyei
fall,lqre,reference,1,na,1,popa,potentilla pacifica
fall,lqre,grubbed,1,na; 1c,3,agsp,agrostis stolonifera
fall,lqre,grubbed,1,1a,1,juba,juncus balticus
fall,lqre,grubbed,1,1b,1,poasp,poa sp
fall,lqre,grubbed,1,na,44,spca,spergularia canadensis
fall,lqre,grubbed,1,na,5,sade,salicornia depressa
fall,lqre,grubbed,1,na,1,popa,potentilla pacifica
fall,lqre,grubbed,1,na,1,glma,glaux maritima
fall,lqre,grubbed,1,na,225,elpar,eleocharis parvula
fall,lqre,grubbed,2,na,1,coco,cotula cornopifolia
fall,lqre,grubbed,2,na,208,elpar,eleocharis parvula
fall,lqre,grubbed,2,na,51,spca,spergularia canadensis
fall,lqre,grubbed,2,na,6,sade,salicornia depressa
fall,lqre,grubbed,3,na,48,spca,spergularia canadensis
fall,lqre,grubbed,3,na,1,coco,cotula cornopifolia
fall,lqre,grubbed,3,na,3,sade,salicornia depressa
fall,lqre,grubbed,3,na,186,elpar,eleocharis parvula
fall,lqre,grubbed,4,na,156,elpar,eleocharis parvula
fall,lqre,grubbed,4,na,42,spca,spergularia canadensis
fall,lqre,grubbed,4,na,6,sade,salicornia depressa
fall,lqre,grubbed,4,na,1,coco,cotula cornopifolia
fall,ere,grubbed,5,na,7,spca,spergularia canadensis
fall,ere,grubbed,5,na,21,sade,salicornia depressa
fall,ere,grubbed,5,na,3,glma,glaux maritima
fall,ere,grubbed,5,na,147,elpar,eleocharis parvula
fall,ere,grubbed,6,na,5,spca,spergularia canadensis
fall,ere,grubbed,6,na,23,sade,salicornia depressa
fall,ere,grubbed,6,na,134,elpar,eleocharis parvula
fall,ere,grubbed,6,na,1,glma,glaux maritima
fall,ere,grubbed,6,na,1,agsp,agrostis stolonifera
fall,ere,grubbed,7,na,2,spca,spergularia canadensis
fall,ere,grubbed,7,na,24,sade,salicornia depressa
fall,ere,grubbed,7,na,141,elpar,eleocharis parvula
fall,ere,grubbed,8,na,3,spca,spergularia canadensis
fall,ere,grubbed,8,na,24,sade,salicornia depressa
fall,ere,grubbed,8,na,129,elpar,eleocharis parvula
fall,ere,grubbed,8,8a,1,isce,isolepis cernua
fall,ere,grubbed,8,na,1,popa,potentilla pacifica
fall,ere,reference,1,na,2,agsp,agrostis stolonifera
fall,ere,reference,1,1a,1,juba,juncus balticus
fall,ere,reference,1,1b-1c,2,dece,deschampsia caespitosa
fall,ere,reference,1,1d,1,cirsp,cirsium sp
fall,ere,reference,1,na,1,popa,potentilla pacifica
fall,ere,reference,1,na,1,glma,glaux maritima
fall,ere,reference,2,2a,1,juar,juncus articulatus
fall,ere,reference,2,2b; 2d-2f,4,juba,juncus balticus
fall,ere,reference,2,2c; 2g-2h,3,dece,deschampsia caespitosa
fall,ere,reference,2,2i,1,sama,sagina maxima
fall,ere,reference,3,na,1,achmi,achillea millifolium
fall,ere,reference,3,na,1,glma,glaux maritima
fall,ere,reference,3,3a; 3c,2,juba,juncus balticus
fall,ere,reference,3,3b,1,dece,deschampsia caespitosa
fall,ere,reference,4,4a-4b,2,dece,deschampsia caespitosa
fall,ere,reference,4,4c,1,juba,juncus balticus
fall,ere,reference,5,na,2,spca,spergularia canadensis
fall,ere,reference,5,na,1,glma,glaux maritima
fall,ere,reference,5,5a,1,dece,deschampsia caespitosa
fall,ere,reference,6,6a,1,isce,isolepis cernua
fall,ere,reference,6,6b,1,juar,juncus articulatus
fall,ere,reference,6,6c,1,dece,deschampsia caespitosa
fall,ere,reference,6,6d,1,jute,juncus tenuis
fall,ere,reference,6,6e,1,juba,juncus balticus
fall,ere,reference,7,7d,1,cirsp,cirsium sp
fall,ere,reference,7,7a,1,dece,deschampsia caespitosa
fall,ere,reference,7,7b,1,caly,carex lyngbyei
fall,ere,reference,7,7c,1,juba,juncus balticus
fall,ere,reference,8,na,1,popa,potentilla pacifica
fall,ere,reference,8,na,1,agsp,agrostis stolonifera
fall,ere,reference,8,na,1,spca,spergularia canadensis
fall,ere,reference,8,8a,1,dece,deschampsia caespitosa
fall,ere,reference,8,8b; 8d,1,juba,juncus balticus
fall,ere,reference,8,8c,1,jute,juncus tenuis
fall,nre,excl1,4,4a,1,jute,juncus tenuis
fall,nre,excl1,4,na,1,caly,carex lyngbyei
fall,nre,excl1,4,na,25,spca,spergularia canadensis
fall,nre,excl1,4,na,243,elpar,eleocharis parvula
fall,nre,excl1,7,na,19,spca,spergularia canadensis
fall,nre,excl1,7,na,1,coco,cotula cornopifolia
fall,nre,excl1,7,na,210,elpar,eleocharis parvula
fall,nre,excl1,7,na,1,sade,salicornia depressa
fall,nre,excl1,8,na,15,spca,spergularia canadensis
fall,nre,excl1,8,na,227,elpar,eleocharis parvula
fall,nre,excl1,8,na,1,caly,carex lyngbyei
fall,nre,excl1,5,na,17,spca,spergularia canadensis
fall,nre,excl1,5,na,258,elpar,eleocharis parvula
fall,nre,excl1,6,na,20,spca,spergularia canadensis
fall,nre,excl1,6,na,227,elpar,eleocharis parvula
fall,nre,excl1,6,6a,1,juba,juncus balticus
fall,nre,excl1,6,6b,1,jute,juncus tenuis
fall,nre,excl1,3,na,29,spca,spergularia canadensis
fall,nre,excl1,3,na,192,elpar,eleocharis parvula
fall,nre,excl1,3,3a,1,dece,deschampsia caespitosa
fall,nre,excl1,1,na,18,spca,spergularia canadensis
fall,nre,excl1,1,na,228,elpar,eleocharis parvula
fall,nre,excl1,1,1a,1,juba,juncus balticus
fall,nre,excl1,2,na,24,spca,spergularia canadensis
fall,nre,excl1,2,na,156,elpar,eleocharis parvula
fall,nre,excl1,2,2a,1,juba,juncus balticus
fall,nre,excl1,2,2b,1,jute,juncus tenuis
fall,nre,grubbed,1,na,15,spca,spergularia canadensis
fall,nre,grubbed,1,na,1,coco,cotula cornopifolia
fall,nre,grubbed,1,1a,1,jute,juncus tenuis
fall,nre,grubbed,1,1b,1,caly,carex lyngbyei
fall,nre,grubbed,1,na,165,elpar,eleocharis parvula
fall,nre,grubbed,2,na,9,spca,spergularia canadensis
fall,nre,grubbed,2,2a-2b,2,jute,juncus tenuis
fall,nre,grubbed,2,na,156,elpar,eleocharis parvula
fall,nre,grubbed,2,na,1,glma,glaux maritima
fall,nre,grubbed,3,3a,1,jute,juncus tenuis
fall,nre,grubbed,3,3b,1,juar,juncus articulatus
fall,nre,grubbed,3,na,9,spca,spergularia canadensis
fall,nre,grubbed,3,na,173,elpar,eleocharis parvula
fall,nre,grubbed,4,4a-4c,3,jute,juncus tenuis
fall,nre,grubbed,4,na,165,elpar,eleocharis parvula
fall,nre,grubbed,4,na,7,spca,spergularia canadensis
fall,nre,grubbed,4,na,1,glma,glaux maritima
fall,nre,reference,1,na,45,elpar,eleocharis parvula
fall,nre,reference,1,na,4,agsp,agrostis stolonifera
fall,nre,reference,1,na,1,popa,potentilla pacifica
