season,estuary,disturbance,replicate,id,count,species,latin,action
fall,lqre,excl10,1,na,1,popa,potentilla pacifica,to 'extras' tray May 1
fall,lqre,excl10,1,1a-1l,11,juba,juncus balticus,to 38P Apr. 15
fall,lqre,excl10,1,na,5,agsp,agrostis stolonifera,removed
fall,lqre,excl10,2,na,1,spca,spergularia canadensis,removed
fall,lqre,excl10,2,na,6,agsp,agrostis stolonifera,removed
fall,lqre,excl10,2,2a-2h,8,juba,juncus balticus,to 38P Apr. 15
fall,lqre,excl10,3,na,6,agsp,agrostis stolonifera,removed
fall,lqre,excl10,3,3a-3h,8,juba,juncus balticus,to 38P Apr. 15
fall,lqre,excl10,4,na,11,agsp,agrostis stolonifera,removed
fall,lqre,excl10,4,4a-4i,9,graminoid,graminoid,to 38P May 1
fall,lqre,excl10,5,5a-5o,14,juba,juncus balticus,to 38P May 1
fall,lqre,excl10,6,na,5,agsp,agrostis stolonifera,removed
fall,lqre,excl10,6,na,2,spca,spergularia canadensis,removed
fall,lqre,excl10,6,6a-6h,8,juba,juncus balticus,to 38P May 1
fall,lqre,excl10,7,na,5,agsp,agrostis stolonifera,removed
fall,lqre,excl10,7,na,1,popa,potentilla pacifica,to 'extras' tray May 1
fall,lqre,excl10,7,7a-7f,6,juba,juncus balticus,to 38P May 1
fall,lqre,excl10,8,na,8,agsp,agrostis stolonifera,removed
fall,lqre,excl10,8,8b-8d; 8f-8g,5,juba,juncus balticus,to 38P May 1
fall,lqre,grubbed,5,na,160,elpar,eleocharis parvula,removed
fall,lqre,grubbed,5,na,38,spca,spergularia canadensis,removed
fall,lqre,grubbed,5,na,1,agsp,agrostis stolonifera,removed
fall,lqre,grubbed,5,na,1,sysu,symphotrichium subspicatum,to 'extras' tray May 1
fall,lqre,grubbed,5,na,1,coco,cotula cornopifolia,removed
fall,lqre,grubbed,5,5a,1,juba,juncus balticus,to 38P May 1
fall,lqre,grubbed,5,5b,1,isce,isolepis cernua,to 38P May 1
fall,lqre,grubbed,6,na,165,elpar,eleocharis parvula,removed
fall,lqre,grubbed,6,na,40,spca,spergularia canadensis,removed
fall,lqre,grubbed,6,na,4,sade,salicornia depressa,removed
fall,lqre,grubbed,6,6a,1,juba,juncus balticus,to 38P May 1
fall,lqre,grubbed,7,na,150,elpar,eleocharis parvula,removed
fall,lqre,grubbed,7,na,38,spca,spergularia canadensis,removed
fall,lqre,grubbed,7,na,2,sade,salicornia depressa,removed
fall,lqre,grubbed,7,na,1,agsp,agrostis stolonifera,removed
